SURNAMES,MALE,FEMALE,
Aartse,Aaf,Aafte,
Kola,Aalart,Aalès,
Abalardi,Aalef,Aalèz,
Abaroa,Aalot,Aalfte,
Abbado,aanes,Aalina,
Masdeu-Arus,Abantes,Aaline,
Abduvaliyev,Abarrotz,Aalis,
Abeille,Abas,Aaliz,
Aberasturi,Abascantus,Aaltje,
Abineri,Abbo,Aanor,
About,Abdalonymus,Ababilia,
Abrahamse,Abderos,Abarne,
Abrao,Abelard,Abauntza,
Abrassart,Aberardus,Abbatissa,
Abruzzi,Aberkios,Abbelina,
Abse,Aberri,Abelie,
Abt,Abimilki,Abelota,
Aburto,Abisme,Abte,
Accardo,Ablabius,Acelina,
Accola,Ablerus,Achaia,
Accornero,Abramius,Achethe,
Achard,Abreas,Achradina,
Acker,Abronychus,Actaëe,
Ackermann,Absolon,Actë,
Acklin,Abundanitus,Ada,
Acuna,Abydos,Adala,
Adam,Acaeus,Adalberta,
Addinell,Acamus,Adaleide,
Adelung,Acelin,Adalheid,
Adenauer,Acessamenus,Adalheidis,
Adeney,Acestes,Adalind,
Adler,Achard,Adalindis,
Adriaens,Achart,Adaliz,
Adriaenssens,Achestan,Adallinda,
Adrianszen,Achila,Adallindis,
Advocat,Achololim,Adalmut,
Aehrenthal,Acindynus,Adalrada,
Aertsen,Aclepiades,Adaltrude,
Afiata,Acot,Adaltrutis,
Agafitei,Acrisias,Adaluuidis,
Agani,Acrisius,Adalwara,
Agarand,Acroneos,Adalwif,
Agare,Actor,Adda,
Agassiz,Acun,Addela,
Ageet,Acur,Ade,
Ager,Adalbero,Adeia,
Agina,Adalbert,Adela,
Agirre,Adalbrecht,Adelaide,
Aglietti,Adaldag,Adelaidis,
Agnelli,Adalfuns,Adelais,
Agnolutto,Adalhard,Adeldreda,
Agosti,Adaloald,Adelena,
Aguerre,Adame,Adelheid,
Aguilar,Adei,Adelheidis,
Aguilon,Adeimanthos,Adelicia,
Aguzzi,Adelard,Adelid,
Ahlmann,Adelardus,Adelie,
Ahmetaj,Adelchis,Adelin,
Ahmeti,Adelphius,Adelina,
Aiello,Adelredus,Adeline,
Aigner,Adelroth,Adelisa,
Aixpuru,Adelstan,Adeliz,
Aiza,Adeluin,Adeliza,
Aizkibel,Adelulf,Adeltrudis,
Ajello,Adenot,Adelysia,
Ajeti,Aderlard,Adeodata,
Ajkler,Adestan,Adere,
Akaregi,Adhémar,Adète,
Akordagoitia,Adlard,Adhela,
Alacoque,Admago,Adhelina,
Aladár,Admetos,Adila,
Alagna,Adon,Admiranda,
Alard,Adranus,Adonie,
Alasia,Adrastos,Adula,
Albani,Adrastus,Aduna,
Albarello,Adred,Adwala,
Albelin,Adrestus,Aebbe,
Albergati,Adri,Aedelflete,
Alberigo,Adrianus,Aeditha,
Alberro,Adrien,Aediva,
Albers,Adso,Aedon,
Albert,Adstan,Aegiolea,
Albertazzi,Adur,Aegle,
Alberti,Aeaces,Aeileua,
Albertini,Aeduin,Aeilgyuu,
Albertoni,Aeduuard,Aeldid,
Albertrani,Aeduuin,Aeldiet,
Albertse,Aega,Aeldit,
Albertszen,Aegaeon,Aeleis,
Albertz,Aegelmaer,Aelesia,
Alboreto,Aegicoros,Aelffled,
Albrup,Aegidius,Aelfgiuee,
Albusel,Aegisthes,Aelfgiva,
Aldair,Aegon,Aelfgyd,
Aldape,Aeilmar,Aelfled,
Aldobrandini,Aeimnestos,Aelfleda,
Alembert,Aeldredus,Aelfryth,
Alessi,Aeldret,Aelgytha,
Alevi,Aelfraed,Aelienor,
Alexandre,Aelgar,Aelina,
Alexopolous,Aelger,Aelis,
Alexopoulos,Aelmar,Aelisia,
Alfieri,Aelmer,Aelive,
Alger,Aeluin,Aelizia,
Alhmann,Aeluuin,Aelueua,
Alia,Aenesidemos,Aenor,
Alibali,Aeolus,Aerope,
Alicata,Aeropus,Aes,
Aliee,Aeschreas,Aeschine,
Alighero,Aesculapius,Aetheldreda,
Alighieri,Aesepus,Aethelfleada,
Alii,Aeson,Aethelind,
Alikaj,Aesop,Aethelinda,
Aliti,Aetes,Aethelthryth,
Aliu,Aethelmaer,Aetheria,
Aljie,Aethelraed,Aethre,
Allard,Aethon,Agace,
Allaro,Aetion,Agacia,
Allbach,Aetios,Agacie,
Alloncle,Aetolos,Agamede,
Allori,Agamedes,Aganippe,
Allucingoli,Agamemnon,Agape,
Allut,Aganbold,Agapia,
Alphand,Agapenor,Agarista,
Altabani,Agapetus,Agas,
Altaner,Agapias,Agase,
Altard,Agastrophos,Agate,
Althape,Agathocles,Agatha,
Althusser,Agathon,Agathé,
Alti,Agbal,Agathonice,
Altichiero,Ageio,Agave,
Altichioro,Agelaus,Agentrudis,
Altieri,Agenor,Aggie,
Altmann,Ager,Agglethrudis,
Aluztiza,Agesilaus,Aginaga,
Alvares,Agetos,Agirre,
Alvintzi,Agid,Aglaia,
Alyea,Agila,Aglaurus,
Alzate,Agilbert,Agnella,
Alzen,Agilof,Agnesot,
Amable,Agilulf,Agneta,
Amanar,Agin,Agnetis,
Amann,Agino,Agnus,
Amati,Agis,Agote,
Amato,Agiwulf,Agurne,
Amberezzio,Agnellus,Agurtzane,
Ambre,Agnien,Ahelis,
Ambrogi,Agobard,Ahelissa,
Ambrogiani,Agosti,Aiago,
Ameche,Agoztar,Aiala,
Amélineau,Agrias,Aicelina,
Amelotte,Agriwulf,Aicusa,
Amendola,Agu,Aiglante,
Amerman,Ahthari,Aiglente,
Amestoy,Ahu,Aiglentine,
Ametxazurra,Aiantes,Aikaterine,
Amici,Aias,Ailda,
Amicis,Aide,Aildreda,
Amiel,Aidoingus,Ailed,
Amient,Aiert,Aileth,
Amiez,Aigeus,Aileua,
Amiot,Aignen,Aileve,
Amiti,Aigo,Ailfled,
Amlinger,Aigulf,Ailhiet,
Ammacapane,Ailbert,Ailid,
Ammanati,Ailbric,Ailiet,
Amocacci,Ailbriht,Ailith,
Amore,Ailmar,Ailitha,
Amoruso,Ailmer,Ailiue,
Amoudry,Ailred,Ailiva,
Ampère,Ailuin,Ailleda,
Amstadter,Ailwin,Ailleth,
Anagyrou,Ailwinus,Ailletha,
Anasagasti,Aimar,Ailliva,
Anastassiou,Aime,Ailova,
Ancel,Aimeri,Ailufa,
Ancellotti,Aimeric,Aimie,
Anchia,Aimeriguet,Ainara,
Anciaux,Aimery,Ainhoa,
Andikoetxea,Aingeru,Ainize,
Andraka,Aintza,Ainoa,
Andras,Aioro,Aintza,
Andrássy,Aire,Aintzane,
Andreadis,Airopos,Aintzile,
Andreou,Aischylos,Aintzine,
Andretta,Aistan,Ainuesa,
Andretti,Aistulf,Aiora,
Andretto,Aita,Aisone,
Andreu,Aithanarid,Aithra,
Andreucci,Aitor,Aitziber,
Andriani,Aitzol,Aizeti,
Andries,Akadios,Aizkorri,
Andrieux,Akamas,Aizpea,
Andriolo,Aketza,Aka,
Andriopoulos,Aktis,Akelda,
Andronikos,Aktor,Akenehi,
Andros,Akuhata,Aketa,
Androuchelli,Alahis,Akorda,
Androupolos,Alain,Ala,
Androutsos,Alainon,Alaine,
Anelka,Alaire,Alainne,
Anganuzzi,Alana,Alais,
Angelis,Alane,Alaitz,
Angelomatis,Alanus,Alazaïs,
Angelou,Alaon,Alazne,
Angelova,Alar,Alba,
Anger,Alarabi,Albelenda,
Angerhausen,Alard,Alberad,
Angermann,Alarge,Alberadis,
Angermeier,Alaric,Albie,
Angloma,Alaricus,Albizua,
Angrand,Alart,Albrad,
Angrenny,Alastor,Albrade,
Anguissola,Alatheus,Albray,
Anhauser,Alatz,Albreda,
Anibal,Alaviv,Albree,
Anistonopoulos,Alazaïs,Albruga,
Anjos,Alberi,Alburch,
Annaert,Alberic,Alburg,
Anninos,Albericus,Alcandre,
Annoni,Albertus,Alcestis,
Annunziato,Albgast,Alcippe,
Annunzio,Albi,Alcmene,
Annus,Albin,Alcyone,
Anschitz,Albinus,Alda,
Anseyving,Albirich,Alded,
Ansgot,Alboin,Aldet,
Ansotegi,Albrict,Aldeth,
Antikatzides,Alcaeos,Aldgid,
Antoaneta,Alcandros,Aldguda,
Antonatos,Alcher,Aldgudana,
Antonelli,Alcides,Aldgyth,
Antonescu,Alcimos,Aldid,
Antonioni,Alcinous,Aldiet,
Antonious,Alcmaion,Aldieth,
Antoniszen,Alcman,Aldietha,
Antonoli,Alcock,Aldis,
Antonucci,Alcon,Aldith,
Antoqana,Aldebrand,Alditha,
Antuofermo,Aldemund,Aldiva,
Antxustegi,Alderan,Aldiytha,
Anzeray,Aldin,Aldruth,
Apaolaza,Aldis,Alduara,
Apel,Aldo,Alduenza,
Apenzeller,Aldredus,Aldus,
Apers,Aldret,Aldusa,
Apolloni,Alduin,Alduse,
Appelmans,Aldun,Aldyet,
Aquilina,Aldus,Aldyt,
Aragazzi,Aldyn,Aleidis,
Araico,Aleaume,Aleire,
Arambel,Aleaumin,Alemene,
Arambillet,Alec,Aleneite,
Arana,Aleck,Alesandese,
Aranaz,Alector,Alesia,
Aranburu,Alein,Alesone,
Arany,Alektryon,Alesta,
Aranzibia,Alerot,Aleusa,
Araoz,Alesander,Alexandra,
Arata,Alesaunder,Alexandria,
Aravena,Alestan,Alfgarda,
Arbaugh,Aleuas,Alfild,
Arbelet,Alewyn,Alfled,
Arbez,Alex,Alfleda,
Arbizu,Alexandir,Alflent,
Arbnori,Alexandros,Alflet,
Arburua,Alexarchos,Alfleta,
Arcand,Alexias,Alfreda,
Arcangeli,Alexis,Algaia,
Arcimboldo,Alexon,Algyva,
Arcos,Aleyn,Alhflaed,
Ardant,Aleyne,Alhflead,
Ardinghi,Alfan,Alia,
Ardito,Alfonce,Alianor,
Ardizzone,Alfredus,Alianora,
Arduino,Algar,Alice,
Arenaza,Alger,Alicen,
Arendse,Algor,Alicia,
Arendsz,Aliaume,Alid,
Arendt,Alica,Alienor,
Arens,Alick,Alienora,
Arents,Aligern,Alina,
